sample_type,filename,ion,subject,sample_id,date,compound,target_id,target_mz,detection_time,detection_time_local,time_only,mzml_path,n_scans,n_detected_scans,n_intervals,mean_relative_intensity,median_relative_intensity,detection_fraction,mean_matched_mz,mean_ppm_error
blank,04_05_2026_FASTING_B1_pos.mzML,pos,Blank,1,04_05_2026,Propinonic Acid,pos_Propinonic_Acid,75.04406,2026-05-04 05:57:35+00:00,2026-05-04 05:57:35,1970-01-01 05:57:35,/mnt/metadata/wcc/Fasting/BreathStudy/ms_analysis/ms/centroid_MS/Blank/04_05_2026_FASTING_B1_pos.mzML,128,128,1,0.0024524589647146456,0.002414243367522478,1.0,75.04408129106463,0.2837141890008463
blank,04_05_2026_FASTING_B1_pos.mzML,pos,Blank,1,04_05_2026,Valeric Acid,pos_Valeric_Acid,103.07536,2026-05-04 05:57:35+00:00,2026-05-04 05:57:35,1970-01-01 05:57:35,/mnt/metadata/wcc/Fasting/BreathStudy/ms_analysis/ms/centroid_MS/Blank/04_05_2026_FASTING_B1_pos.mzML,128,128,1,0.0010059876089451832,0.00100553316216385,1.0,103.07524040652483,-1.1602528012350821
breath,25_03_2026_FASTING_S1_001_pos.mzML,pos,S1,1,25_03_2026,1-Butanol,pos_1-Butanol,75.08044,2026-03-25 06:59:05+00:00,2026-03-25 06:59:05,1970-01-01 06:59:05,/mnt/metadata/wcc/Fasting/BreathStudy/ms_analysis/ms/centroid_MS/Breath/25_03_2026_FASTING_S1_001_pos.mzML,103,0,4,,,0.0,,
breath,25_03_2026_FASTING_S1_001_pos.mzML,pos,S1,1,25_03_2026,2-Propanol,pos_2-Propanol,61.06479,2026-03-25 06:59:05+00:00,2026-03-25 06:59:05,1970-01-01 06:59:05,/mnt/metadata/wcc/Fasting/BreathStudy/ms_analysis/ms/centroid_MS/Breath/25_03_2026_FASTING_S1_001_pos.mzML,103,0,4,,,0.0,,
breath,25_03_2026_FASTING_S1_001_pos.mzML,pos,S1,1,25_03_2026,Acetic Acid,pos_Acetic_Acid,61.02841,2026-03-25 06:59:05+00:00,2026-03-25 06:59:05,1970-01-01 06:59:05,/mnt/metadata/wcc/Fasting/BreathStudy/ms_analysis/ms/centroid_MS/Breath/25_03_2026_FASTING_S1_001_pos.mzML,103,90,4,5.54221778578141e-05,4.958720072212174e-05,0.8737864077669902,61.0285808020514,2.7987301553998942
breath,25_03_2026_FASTING_S1_001_pos.mzML,pos,S1,1,25_03_2026,"Acetone, Propanal","pos_Acetone,_Propanal",59.04914,2026-03-25 06:59:05+00:00,2026-03-25 06:59:05,1970-01-01 06:59:05,/mnt/metadata/wcc/Fasting/BreathStudy/ms_analysis/ms/centroid_MS/Breath/25_03_2026_FASTING_S1_001_pos.mzML,103,103,4,0.2055585516296857,0.21300691045867648,1.0,59.0493254681718,3.1409123281883913
breath,25_03_2026_FASTING_S1_001_pos.mzML,pos,S1,1,25_03_2026,Butanal,pos_Butanal,73.06479,2026-03-25 06:59:05+00:00,2026-03-25 06:59:05,1970-01-01 06:59:05,/mnt/metadata/wcc/Fasting/BreathStudy/ms_analysis/ms/centroid_MS/Breath/25_03_2026_FASTING_S1_001_pos.mzML,103,103,4,0.004312070164317162,0.0033479857793476983,1.0,73.06480392245065,0.19054938305382796
breath,25_03_2026_FASTING_S1_001_pos.mzML,pos,S1,1,25_03_2026,Butyric Acid,pos_Butyric_Acid,89.05971,2026-03-25 06:59:05+00:00,2026-03-25 06:59:05,1970-01-01 06:59:05,/mnt/metadata/wcc/Fasting/BreathStudy/ms_analysis/ms/centroid_MS/Breath/25_03_2026_FASTING_S1_001_pos.mzML,103,103,4,0.0005935856677463399,0.0005090274097904526,1.0,89.05963586635696,-0.832403822699831
breath,25_03_2026_FASTING_S1_001_pos.mzML,pos,S1,1,25_03_2026,Decanal,pos_Decanal,157.15869,2026-03-25 06:59:05+00:00,2026-03-25 06:59:05,1970-01-01 06:59:05,/mnt/metadata/wcc/Fasting/BreathStudy/ms_analysis/ms/centroid_MS/Breath/25_03_2026_FASTING_S1_001_pos.mzML,103,44,4,2.6805047991519465e-05,2.5582027436142313e-05,0.42718446601941745,157.15841842997722,-1.7279987685049905
breath,25_03_2026_FASTING_S1_001_pos.mzML,pos,S1,1,25_03_2026,Heptanal,pos_Heptanal,115.11174,2026-03-25 06:59:05+00:00,2026-03-25 06:59:05,1970-01-01 06:59:05,/mnt/metadata/wcc/Fasting/BreathStudy/ms_analysis/ms/centroid_MS/Breath/25_03_2026_FASTING_S1_001_pos.mzML,103,103,4,0.00025701934795868713,0.0002539880788813519,1.0,115.11156019718462,-1.5619850361760725
breath,25_03_2026_FASTING_S1_001_pos.mzML,pos,S1,1,25_03_2026,Hexanal,pos_Hexanal,101.09609,2026-03-25 06:59:05+00:00,2026-03-25 06:59:05,1970-01-01 06:59:05,/mnt/metadata/wcc/Fasting/BreathStudy/ms_analysis/ms/centroid_MS/Breath/25_03_2026_FASTING_S1_001_pos.mzML,103,95,4,5.049845901320988e-05,4.5115173812948874e-05,0.9223300970873787,101.09596323878802,-1.2538685915951187
breath,25_03_2026_FASTING_S1_001_pos.mzML,pos,S1,1,25_03_2026,Hexanoic Acid,pos_Hexanoic_Acid,117.09101,2026-03-25 06:59:05+00:00,2026-03-25 06:59:05,1970-01-01 06:59:05,/mnt/metadata/wcc/Fasting/BreathStudy/ms_analysis/ms/centroid_MS/Breath/25_03_2026_FASTING_S1_001_pos.mzML,103,103,4,0.0012365674491920252,0.0007409480074619008,1.0,117.0908443098441,-1.4150544597541226
breath,25_03_2026_FASTING_S1_001_pos.mzML,pos,S1,1,25_03_2026,Isoprene,pos_Isoprene,69.06988,2026-03-25 06:59:05+00:00,2026-03-25 06:59:05,1970-01-01 06:59:05,/mnt/metadata/wcc/Fasting/BreathStudy/ms_analysis/ms/centroid_MS/Breath/25_03_2026_FASTING_S1_001_pos.mzML,103,103,4,0.001832289042065609,0.0017837132053378862,1.0,69.06994915100722,1.001174567375657
breath,25_03_2026_FASTING_S1_001_pos.mzML,pos,S1,1,25_03_2026,Nonanal,pos_Nonanal,143.14304,2026-03-25 06:59:05+00:00,2026-03-25 06:59:05,1970-01-01 06:59:05,/mnt/metadata/wcc/Fasting/BreathStudy/ms_analysis/ms/centroid_MS/Breath/25_03_2026_FASTING_S1_001_pos.mzML,103,95,4,4.802583834696552e-05,4.384443136847356e-05,0.9223300970873787,143.14280351938143,-1.6520580992583591
breath,25_03_2026_FASTING_S1_001_pos.mzML,pos,S1,1,25_03_2026,Octanal,pos_Octanal,129.12739,2026-03-25 06:59:05+00:00,2026-03-25 06:59:05,1970-01-01 06:59:05,/mnt/metadata/wcc/Fasting/BreathStudy/ms_analysis/ms/centroid_MS/Breath/25_03_2026_FASTING_S1_001_pos.mzML,103,103,4,0.00014140685934282336,0.00014555256020613706,1.0,129.12718526716452,-1.5855105216596759
breath,25_03_2026_FASTING_S1_001_pos.mzML,pos,S1,1,25_03_2026,Pentanal,pos_Pentanal,87.08044,2026-03-25 06:59:05+00:00,2026-03-25 06:59:05,1970-01-01 06:59:05,/mnt/metadata/wcc/Fasting/BreathStudy/ms_analysis/ms/centroid_MS/Breath/25_03_2026_FASTING_S1_001_pos.mzML,103,103,4,0.0013544080254037142,0.0013769669599919408,1.0,87.08037967234954,-0.6927807261200426
breath,25_03_2026_FASTING_S1_001_pos.mzML,pos,S1,1,25_03_2026,Propinonic Acid,pos_Propinonic_Acid,75.04406,2026-03-25 06:59:05+00:00,2026-03-25 06:59:05,1970-01-01 06:59:05,/mnt/metadata/wcc/Fasting/BreathStudy/ms_analysis/ms/centroid_MS/Breath/25_03_2026_FASTING_S1_001_pos.mzML,103,103,4,0.0005672004809696398,0.0005722642918185975,1.0,75.0440590569866,-0.012566129887148501
breath,25_03_2026_FASTING_S1_001_pos.mzML,pos,S1,1,25_03_2026,Valeric Acid,pos_Valeric_Acid,103.07536,2026-03-25 06:59:05+00:00,2026-03-25 06:59:05,1970-01-01 06:59:05,/mnt/metadata/wcc/Fasting/BreathStudy/ms_analysis/ms/centroid_MS/Breath/25_03_2026_FASTING_S1_001_pos.mzML,103,102,4,8.249526054313867e-05,7.757894624770094e-05,0.9902912621359223,103.07517448228779,-1.799825993353685
