feature_id,ion,cluster_mz,n_subjects,trend_direction,min_pvalue_bh,max_pvalue_bh,mean_slope,median_slope,mean_abs_rvalue,mean_intensity,max_abs_percent_change,rank_score,neg_log10_max_pvalue_bh,abs_mean_slope,label
pos_mz_123.0801_15184,pos,123.08009999999999,1,decrease,0.0,0.0,-0.000761972151550656,-0.000761972151550656,1.0,0.0005543428491022037,53.95174489302429,306.7399814872123,300.0,0.000761972151550656,pos 123.0801
pos_mz_173.0119_22071,pos,173.01194999999998,1,decrease,0.0,0.0,-0.0012625883745442871,-0.0012625883745442871,1.0,0.0005234916764197458,50.147474296721484,306.708824192768,300.0,0.0012625883745442871,pos 173.0119
pos_mz_134.0825_16645,pos,134.08255,1,increase,0.0,0.0,8.617803860781048e-05,8.617803860781048e-05,1.0,0.00010493097592441047,47.063665472192014,306.68181688826655,300.0,8.617803860781048e-05,pos 134.0826
pos_mz_141.0910_17974,pos,141.09104285714287,1,decrease,0.0,0.0,-0.00112515653373625,-0.00112515653373625,1.0,0.0005673883037448869,43.155398748387505,306.6449838110459,300.0,0.00112515653373625,pos 141.091
pos_mz_110.0598_12826,pos,110.05975000000001,1,decrease,0.0,0.0,-6.177843685076469e-05,-6.177843685076469e-05,1.0,6.46703364448078e-05,41.90859045606573,306.6325442482263,300.0,6.177843685076469e-05,pos 110.0598
pos_mz_169.1222_21509,pos,169.12215,1,decrease,0.0,0.0,-0.0006042212962627787,-0.0006042212962627787,1.0,0.0003583145378264099,37.92181786343206,306.59019311601617,300.0,0.0006042212962627787,pos 169.1222
pos_mz_171.1378_21806,pos,171.13775,1,decrease,0.0,0.0,-0.0003164521600510056,-0.0003164521600510056,1.0,0.00020920811500164705,34.693786915305374,306.55259262666607,300.0,0.0003164521600510056,pos 171.1378
pos_mz_152.0316_19133,pos,152.03155,1,decrease,0.0,0.0,-0.00024542523122756104,-0.00024542523122756104,1.0,0.00016587661883023382,34.06478086757676,306.54487112918093,300.0,0.00024542523122756104,pos 152.0316
pos_mz_127.9496_15785,pos,127.94955,1,decrease,0.0,0.0,-0.0005810966571446767,-0.0005810966571446767,1.0,0.00042942241843775585,31.615421088841522,306.5134229899528,300.0,0.0005810966571446767,pos 127.9496
pos_mz_104.9660_11900,pos,104.96605,1,increase,0.0,0.0,6.336411922214755e-05,6.336411922214755e-05,1.0,0.00011442376373900425,29.474432562317617,306.483935627749,300.0,6.336411922214755e-05,pos 104.966
pos_mz_152.9523_19225,pos,152.95235,1,increase,0.0,0.0,5.821775485435349e-05,5.821775485435349e-05,1.0,0.0001309968059553174,27.127724717039047,306.44913460302195,300.0,5.821775485435349e-05,pos 152.9524
pos_mz_80.0087_08331,pos,80.00865,1,decrease,0.0,0.0,-5.076096960087438e-05,-5.076096960087438e-05,0.9999999999999998,4.576869822664943e-05,26.672398333122484,306.4420468005469,300.0,5.076096960087438e-05,pos 80.0086
pos_mz_163.1111_20674,pos,163.11110000000002,1,decrease,0.0,0.0,-0.00014854099228186582,-0.00014854099228186582,1.0,0.0002730752987973317,25.508588706389535,306.42338660689785,300.0,0.00014854099228186582,pos 163.1111
pos_mz_112.0754_13133,pos,112.07540000000002,1,increase,0.0,0.0,6.734059302369431e-05,6.734059302369431e-05,1.0,7.464514497146195e-05,25.483837647862096,306.42298091689037,300.0,6.734059302369431e-05,pos 112.0754
pos_mz_111.0414_12971,pos,111.0414,1,increase,0.0,0.0,0.0001097150498363802,0.0001097150498363802,0.9999999999999998,0.00027189745265381786,24.32715908964236,306.4035864783462,300.0,0.0001097150498363802,pos 111.0414
pos_mz_117.9583_14187,pos,117.95835,1,decrease,0.0,0.0,-9.213391579670622e-05,-9.213391579670622e-05,1.0,7.211099561291081e-05,23.987756905899978,306.3977272722484,300.0,9.213391579670622e-05,pos 117.9584
pos_mz_207.1737_26769,pos,207.17365,1,decrease,0.0,0.0,-0.00013078590593236514,-0.00013078590593236514,1.0,0.00013183362272578523,22.8036287630399,306.37664316846974,300.0,0.00013078590593236514,pos 207.1736
pos_mz_187.1259_24368,pos,187.12595,1,decrease,0.0,0.0,-0.00016471994014240343,-0.00016471994014240343,1.0,0.00019712157019999966,20.779397484529753,306.33804586105964,300.0,0.00016471994014240343,pos 187.126
pos_mz_160.9905_20343,pos,160.9905,1,increase,0.0,0.0,2.1670110570006084e-05,2.1670110570006084e-05,1.0,5.755264651834181e-05,19.13804568910298,306.30401732184714,300.0,2.1670110570006084e-05,pos 160.9905
pos_mz_197.0048_25457,pos,197.00475,1,increase,0.0,0.0,0.00030210054991638047,0.00030210054991638047,1.0,0.00037804004431221856,18.63653503279312,306.29306485672504,300.0,0.00030210054991638047,pos 197.0048
pos_mz_153.0546_19269,pos,153.05455,1,decrease,0.0,0.0,-5.2124110090360315e-05,-5.2124110090360315e-05,1.0,7.959174846869512e-05,16.659501701388297,306.2469784449159,300.0,5.2124110090360315e-05,pos 153.0546
pos_mz_70.0733_06665,pos,70.07325,1,decrease,0.0,0.0,-2.679868666297222e-05,-2.679868666297222e-05,1.0,4.3624575512803186e-05,14.2918149234778,306.1844590331216,300.0,2.679868666297222e-05,pos 70.0732
pos_mz_115.9834_13804,pos,115.98335,1,decrease,0.0,0.0,-3.49149299290298e-05,-3.49149299290298e-05,1.0,0.00013211900555069254,13.26251411235785,306.1541960871487,300.0,3.49149299290298e-05,pos 115.9834
pos_mz_159.1164_20149,pos,159.11635,1,decrease,0.0,0.0,-2.6424970186579556e-05,-2.6424970186579556e-05,1.0,4.926445879257672e-05,12.593310733330732,306.13332524467256,300.0,2.6424970186579556e-05,pos 159.1164
pos_mz_138.0418_17414,pos,138.0418,1,increase,0.0,0.0,0.00013129999960028666,0.00013129999960028666,1.0,0.00025743886712996573,11.506494663914708,306.0971356021441,300.0,0.00013129999960028666,pos 138.0418
