ion,mz_4dp,feature_id,cluster_mz
pos,55.0545,pos_mz_55.0545_00359,55.05455
pos,55.0546,pos_mz_55.0545_00359,55.05455
pos,56.965,pos_mz_56.9651_00593,56.965050000000005
pos,56.9651,pos_mz_56.9651_00593,56.965050000000005
pos,57.0338,pos_mz_57.0339_00623,57.03385
pos,57.0339,pos_mz_57.0339_00623,57.03385
pos,57.0701,pos_mz_57.0701_00646,57.07015
pos,57.0702,pos_mz_57.0701_00646,57.07015
pos,59.0493,pos_mz_59.0494_01051,59.049350000000004
pos,59.0494,pos_mz_59.0494_01051,59.049350000000004
pos,60.0375,pos_mz_60.0376_01262,60.03765
pos,60.0376,pos_mz_60.0376_01262,60.03765
pos,60.0377,pos_mz_60.0376_01262,60.03765
pos,60.0378,pos_mz_60.0376_01262,60.03765
pos,60.0445,pos_mz_60.0446_01265,60.04455
pos,60.0446,pos_mz_60.0446_01265,60.04455
pos,60.0526,pos_mz_60.0526_01271,60.05265
pos,60.0527,pos_mz_60.0526_01271,60.05265
pos,60.0554,pos_mz_60.0555_01274,60.05555
pos,60.0555,pos_mz_60.0555_01274,60.05555
pos,60.0556,pos_mz_60.0555_01274,60.05555
pos,60.0557,pos_mz_60.0555_01274,60.05555
pos,60.0675,pos_mz_60.0677_01280,60.06765
pos,60.0676,pos_mz_60.0677_01280,60.06765
pos,60.0677,pos_mz_60.0677_01280,60.06765
pos,60.0678,pos_mz_60.0677_01280,60.06765
pos,60.0809,pos_mz_60.0810_01283,60.08095
pos,60.081,pos_mz_60.0810_01283,60.08095
pos,60.9862,pos_mz_60.9862_01321,60.98625
pos,60.9863,pos_mz_60.9862_01321,60.98625
pos,60.9866,pos_mz_60.9866_01322,60.98665
pos,60.9867,pos_mz_60.9866_01322,60.98665
pos,61.0284,pos_mz_61.0285_01328,61.028549999999996
pos,61.0285,pos_mz_61.0285_01328,61.028549999999996
pos,61.0286,pos_mz_61.0285_01328,61.028549999999996
pos,61.0287,pos_mz_61.0285_01328,61.028549999999996
pos,61.0397,pos_mz_61.0397_01329,61.03975
pos,61.0398,pos_mz_61.0397_01329,61.03975
pos,61.0535,pos_mz_61.0536_01332,61.05355
pos,61.0536,pos_mz_61.0536_01332,61.05355
pos,61.0559,pos_mz_61.0560_01335,61.056000000000004
pos,61.056,pos_mz_61.0560_01335,61.056000000000004
pos,61.0561,pos_mz_61.0560_01335,61.056000000000004
pos,61.0842,pos_mz_61.0842_01338,61.08425
pos,61.0843,pos_mz_61.0842_01338,61.08425
pos,61.994,pos_mz_61.9942_01342,61.994150000000005
pos,61.9941,pos_mz_61.9942_01342,61.994150000000005
pos,61.9942,pos_mz_61.9942_01342,61.994150000000005
pos,61.9943,pos_mz_61.9942_01342,61.994150000000005
pos,67.0123,pos_mz_67.0123_01374,67.01235
pos,67.0124,pos_mz_67.0123_01374,67.01235
pos,67.0543,pos_mz_67.0543_01379,67.05435
pos,67.0544,pos_mz_67.0543_01379,67.05435
pos,68.9821,pos_mz_68.9822_01405,68.98219999999999
pos,68.9822,pos_mz_68.9822_01405,68.98219999999999
pos,68.9823,pos_mz_68.9822_01405,68.98219999999999
pos,69.0335,pos_mz_69.0336_01409,69.03359999999999
pos,69.0336,pos_mz_69.0336_01409,69.03359999999999
pos,69.0337,pos_mz_69.0336_01409,69.03359999999999
pos,69.0699,pos_mz_69.0700_01416,69.06995
pos,69.07,pos_mz_69.0700_01416,69.06995
pos,70.0651,pos_mz_70.0652_01434,70.06515
pos,70.0652,pos_mz_70.0652_01434,70.06515
pos,70.0732,pos_mz_70.0733_01436,70.0733
pos,70.0733,pos_mz_70.0733_01436,70.0733
pos,70.0734,pos_mz_70.0733_01436,70.0733
pos,71.0491,pos_mz_71.0492_01458,71.0492
pos,71.0492,pos_mz_71.0492_01458,71.0492
pos,71.0493,pos_mz_71.0492_01458,71.0492
pos,71.0603,pos_mz_71.0604_01459,71.0604
pos,71.0604,pos_mz_71.0604_01459,71.0604
pos,71.0605,pos_mz_71.0604_01459,71.0604
pos,71.0684,pos_mz_71.0686_01460,71.06855
pos,71.0685,pos_mz_71.0686_01460,71.06855
pos,71.0686,pos_mz_71.0686_01460,71.06855
pos,71.0687,pos_mz_71.0686_01460,71.06855
pos,71.0855,pos_mz_71.0855_01462,71.08555
pos,71.0856,pos_mz_71.0855_01462,71.08555
pos,71.9517,pos_mz_71.9519_01473,71.95185000000001
pos,71.9518,pos_mz_71.9519_01473,71.95185000000001
pos,71.9519,pos_mz_71.9519_01473,71.95185000000001
pos,71.952,pos_mz_71.9519_01473,71.95185000000001
pos,72.0443,pos_mz_72.0444_01480,72.04440000000001
pos,72.0444,pos_mz_72.0444_01480,72.04440000000001
pos,72.0445,pos_mz_72.0444_01480,72.04440000000001
pos,73.0283,pos_mz_73.0284_01512,73.02839999999999
pos,73.0284,pos_mz_73.0284_01512,73.02839999999999
pos,73.0285,pos_mz_73.0284_01512,73.02839999999999
pos,73.0647,pos_mz_73.0648_01522,73.0648
pos,73.0648,pos_mz_73.0648_01522,73.0648
pos,73.0649,pos_mz_73.0648_01522,73.0648
pos,73.9965,pos_mz_73.9967_01553,73.99665
pos,73.9966,pos_mz_73.9967_01553,73.99665
pos,73.9967,pos_mz_73.9967_01553,73.99665
pos,73.9968,pos_mz_73.9967_01553,73.99665
pos,74.06,pos_mz_74.0601_01573,74.06005
pos,74.0601,pos_mz_74.0601_01573,74.06005
pos,74.068,pos_mz_74.0681_01583,74.0681
pos,74.0681,pos_mz_74.0681_01583,74.0681
pos,74.0682,pos_mz_74.0681_01583,74.0681
pos,74.0963,pos_mz_74.0964_01593,74.0964
pos,74.0964,pos_mz_74.0964_01593,74.0964
pos,74.0965,pos_mz_74.0964_01593,74.0964
pos,74.9752,pos_mz_74.9754_01616,74.97535
pos,74.9753,pos_mz_74.9754_01616,74.97535
pos,74.9754,pos_mz_74.9754_01616,74.97535
pos,74.9755,pos_mz_74.9754_01616,74.97535
pos,75.044,pos_mz_75.0440_01622,75.04405
pos,75.0441,pos_mz_75.0440_01622,75.04405
pos,75.0551,pos_mz_75.0553_01624,75.05525
pos,75.0552,pos_mz_75.0553_01624,75.05525
pos,75.0553,pos_mz_75.0553_01624,75.05525
pos,75.0554,pos_mz_75.0553_01624,75.05525
pos,75.0569,pos_mz_75.0571_01626,75.05705
pos,75.057,pos_mz_75.0571_01626,75.05705
pos,75.0571,pos_mz_75.0571_01626,75.05705
pos,75.0572,pos_mz_75.0571_01626,75.05705
pos,75.0633,pos_mz_75.0634_01628,75.0634
pos,75.0634,pos_mz_75.0634_01628,75.0634
pos,75.0635,pos_mz_75.0634_01628,75.0634
pos,76.0175,pos_mz_76.0175_01650,76.01755
pos,76.0176,pos_mz_76.0175_01650,76.01755
pos,76.0392,pos_mz_76.0393_01652,76.0393
pos,76.0393,pos_mz_76.0393_01652,76.0393
pos,76.0394,pos_mz_76.0393_01652,76.0393
pos,77.0384,pos_mz_77.0386_01689,77.03855
pos,77.0385,pos_mz_77.0386_01689,77.03855
pos,77.0386,pos_mz_77.0386_01689,77.03855
pos,77.0387,pos_mz_77.0386_01689,77.03855
pos,78.0129,pos_mz_78.0130_01732,78.01299999999999
pos,78.013,pos_mz_78.0130_01732,78.01299999999999
pos,78.0131,pos_mz_78.0130_01732,78.01299999999999
pos,78.0225,pos_mz_78.0226_01749,78.0226
pos,78.0226,pos_mz_78.0226_01749,78.0226
pos,78.0227,pos_mz_78.0226_01749,78.0226
pos,78.9969,pos_mz_78.9970_01817,78.997
pos,78.997,pos_mz_78.9970_01817,78.997
pos,78.9971,pos_mz_78.9970_01817,78.997
pos,79.0211,pos_mz_79.0212_01850,79.02120000000001
pos,79.0212,pos_mz_79.0212_01850,79.02120000000001
pos,79.0213,pos_mz_79.0212_01850,79.02120000000001
