ion,feature_id,cluster_mz,n_present_samples,min_detection_fraction,median_detection_fraction,n_total_samples,presence_fraction,passes
pos,pos_mz_118.9918_03855,118.99179999999998,1,1.0,1.0,1,1.0,True
pos,pos_mz_119.0282_03869,119.02820000000001,1,1.0,1.0,1,1.0,True
pos,pos_mz_120.0235_03923,120.02346666666669,1,1.0,1.0,1,1.0,True
pos,pos_mz_120.0477_03932,120.04765000000002,1,1.0,1.0,1,1.0,True
pos,pos_mz_120.9807_03986,120.9807,1,1.0,1.0,1,1.0,True
pos,pos_mz_120.9870_03989,120.98695000000002,1,1.0,1.0,1,1.0,True
pos,pos_mz_121.0074_03992,121.0074,1,1.0,1.0,1,1.0,True
pos,pos_mz_121.1010_04027,121.10100000000003,1,1.0,1.0,1,1.0,True
pos,pos_mz_122.0962_04075,122.09615000000001,1,0.912621359223301,0.912621359223301,1,1.0,True
pos,pos_mz_123.0231_04101,123.02310000000003,1,1.0,1.0,1,1.0,True
pos,pos_mz_123.0438_04108,123.0438,1,0.912621359223301,0.912621359223301,1,1.0,True
pos,pos_mz_123.1167_04126,123.11665,1,1.0,1.0,1,1.0,True
pos,pos_mz_124.0183_04139,124.01835,1,1.0,1.0,1,1.0,True
pos,pos_mz_124.0968_04154,124.09675,1,0.8252427184466019,0.8252427184466019,1,1.0,True
pos,pos_mz_124.1199_04155,124.1199,1,0.9320388349514563,0.9320388349514563,1,1.0,True
pos,pos_mz_125.0024_04177,125.00240000000001,1,1.0,1.0,1,1.0,True
pos,pos_mz_125.0188_04180,125.01879999999998,1,0.9902912621359223,0.9902912621359223,1,1.0,True
pos,pos_mz_125.0594_04198,125.05936,1,0.8737864077669902,0.8737864077669902,1,1.0,True
pos,pos_mz_125.0958_04207,125.09582499999999,1,1.0,1.0,1,1.0,True
pos,pos_mz_125.9526_04225,125.9526,1,1.0,1.0,1,1.0,True
pos,pos_mz_126.9367_04274,126.93665,1,1.0,1.0,1,1.0,True
pos,pos_mz_126.9513_04278,126.95129999999999,1,1.0,1.0,1,1.0,True
pos,pos_mz_126.9939_04285,126.99385000000001,1,0.912621359223301,0.912621359223301,1,1.0,True
pos,pos_mz_126.9980_04288,126.99795,1,1.0,1.0,1,1.0,True
pos,pos_mz_127.0238_04297,127.02380000000001,1,1.0,1.0,1,1.0,True
pos,pos_mz_127.0387_04302,127.03865,1,0.8446601941747572,0.8446601941747572,1,1.0,True
pos,pos_mz_127.0727_04310,127.07275,1,0.8155339805825242,0.8155339805825242,1,1.0,True
pos,pos_mz_127.0752_04313,127.07515000000001,1,1.0,1.0,1,1.0,True
pos,pos_mz_127.1115_04316,127.11155,1,1.0,1.0,1,1.0,True
pos,pos_mz_127.9494_04331,127.9494,1,0.9902912621359223,0.9902912621359223,1,1.0,True
pos,pos_mz_128.0785_04355,128.07854999999998,1,0.8446601941747572,0.8446601941747572,1,1.0,True
pos,pos_mz_128.1068_04356,128.10684999999998,1,1.0,1.0,1,1.0,True
pos,pos_mz_128.9504_04368,128.95043333333334,1,0.8058252427184466,0.8058252427184466,1,1.0,True
pos,pos_mz_128.9856_04373,128.9856,1,0.8058252427184466,0.8058252427184466,1,1.0,True
pos,pos_mz_129.0212_04379,129.0212,1,0.8155339805825242,0.8155339805825242,1,1.0,True
pos,pos_mz_129.0543_04387,129.05435,1,1.0,1.0,1,1.0,True
pos,pos_mz_129.0908_04396,129.09085,1,1.0,1.0,1,1.0,True
pos,pos_mz_129.1101_04400,129.11005,1,0.8446601941747572,0.8446601941747572,1,1.0,True
pos,pos_mz_130.0861_04433,130.08610000000002,1,1.0,1.0,1,1.0,True
pos,pos_mz_130.9651_04453,130.96505000000002,1,1.0,1.0,1,1.0,True
pos,pos_mz_132.0476_04508,132.04755,1,0.9320388349514563,0.9320388349514563,1,1.0,True
pos,pos_mz_132.9807_04543,132.98072,1,1.0,1.0,1,1.0,True
pos,pos_mz_133.0073_04547,133.0073,1,0.8932038834951457,0.8932038834951457,1,1.0,True
pos,pos_mz_133.0645_04568,133.0645,1,0.912621359223301,0.912621359223301,1,1.0,True
pos,pos_mz_133.0793_04572,133.07925,1,1.0,1.0,1,1.0,True
pos,pos_mz_134.0027_04605,134.00265000000002,1,1.0,1.0,1,1.0,True
pos,pos_mz_134.0827_04626,134.08274,1,0.8737864077669902,0.8737864077669902,1,1.0,True
pos,pos_mz_134.9867_04661,134.9867,1,1.0,1.0,1,1.0,True
pos,pos_mz_135.0135_04671,135.01345,1,0.8252427184466019,0.8252427184466019,1,1.0,True
pos,pos_mz_135.0231_04675,135.02306666666667,1,1.0,1.0,1,1.0,True
pos,pos_mz_135.0748_04695,135.07485,1,0.8543689320388349,0.8543689320388349,1,1.0,True
pos,pos_mz_135.1014_04703,135.10144,1,1.0,1.0,1,1.0,True
pos,pos_mz_136.0185_04755,136.01845,1,1.0,1.0,1,1.0,True
pos,pos_mz_136.0213_04756,136.02129999999997,1,1.0,1.0,1,1.0,True
pos,pos_mz_136.0547_04768,136.05474999999998,1,1.0,1.0,1,1.0,True
pos,pos_mz_136.9529_04831,136.95290000000003,1,0.970873786407767,0.970873786407767,1,1.0,True
pos,pos_mz_136.9896_04848,136.98960000000002,1,0.9902912621359223,0.9902912621359223,1,1.0,True
pos,pos_mz_137.0024_04854,137.0024,1,1.0,1.0,1,1.0,True
pos,pos_mz_137.0246_04868,137.02455,1,0.8640776699029126,0.8640776699029126,1,1.0,True
pos,pos_mz_137.0388_04873,137.03875000000002,1,1.0,1.0,1,1.0,True
pos,pos_mz_137.0593_04890,137.05929999999998,1,0.8155339805825242,0.8155339805825242,1,1.0,True
pos,pos_mz_137.1322_04918,137.13225,1,1.0,1.0,1,1.0,True
pos,pos_mz_137.9972_04946,137.9972,1,0.941747572815534,0.941747572815534,1,1.0,True
pos,pos_mz_138.0055_04949,138.00553333333332,1,1.0,1.0,1,1.0,True
pos,pos_mz_138.0421_04964,138.04215,1,0.8058252427184466,0.8058252427184466,1,1.0,True
pos,pos_mz_138.1356_04990,138.1356,1,1.0,1.0,1,1.0,True
pos,pos_mz_138.9811_05027,138.9811,1,0.8446601941747572,0.8446601941747572,1,1.0,True
pos,pos_mz_138.9980_05034,138.99795,1,1.0,1.0,1,1.0,True
pos,pos_mz_139.0344_05047,139.03435000000002,1,1.0,1.0,1,1.0,True
pos,pos_mz_139.0428_05053,139.0428,1,0.9805825242718447,0.9805825242718447,1,1.0,True
pos,pos_mz_139.1115_05083,139.1115,1,0.9902912621359223,0.9902912621359223,1,1.0,True
pos,pos_mz_139.9955_05106,139.99550000000002,1,0.8155339805825242,0.8155339805825242,1,1.0,True
pos,pos_mz_141.0145_05164,141.01451428571428,1,0.8058252427184466,0.8058252427184466,1,1.0,True
pos,pos_mz_141.0543_05180,141.0543,1,1.0,1.0,1,1.0,True
pos,pos_mz_141.0907_05189,141.09068,1,1.0,1.0,1,1.0,True
pos,pos_mz_141.1272_05192,141.1272,1,1.0,1.0,1,1.0,True
pos,pos_mz_142.0862_05218,142.08615,1,0.8155339805825242,0.8155339805825242,1,1.0,True
pos,pos_mz_142.0940_05219,142.09404999999998,1,0.8349514563106796,0.8349514563106796,1,1.0,True
pos,pos_mz_142.1224_05222,142.12235,1,1.0,1.0,1,1.0,True
pos,pos_mz_142.9318_05233,142.9318,1,0.8543689320388349,0.8543689320388349,1,1.0,True
pos,pos_mz_142.9635_05238,142.96355,1,0.9320388349514563,0.9320388349514563,1,1.0,True
pos,pos_mz_143.0014_05246,143.00135,1,1.0,1.0,1,1.0,True
pos,pos_mz_143.0700_05267,143.07,1,1.0,1.0,1,1.0,True
pos,pos_mz_143.1063_05273,143.1063333333333,1,1.0,1.0,1,1.0,True
