21.278,0.85,0.0,0.0,0.0
21.392,0.86,0.05,0.0,0.0
21.585,0.86,0,0.0,0.0
21.704,0.86,0.0,0.0,0.0
21.868,0.86,0.05,0.0,0.0
21.992,0.87,0.0,0.0,0.0
22.109,0.87,0,0.0,0.0
22.285,0.88,0.0,0.0,0.0
22.44,0.87,0.05,0.0,0.0
22.57,0.86,0.0,0.0,0.0
22.695,0.86,0.0,0.0,0.0
22.821,0.85,0,0.0,0.0
22.987,0.85,0,0.0,0.0
23.141,0.85,0,0.0,0.0
23.291,0.85,0.34,1.737,0.0
23.414,0.85,0.1,0.0,0.0
23.578,0.86,0.2,1.402,0.01
23.74,0.85,4.11,5.296,0.01
23.872,0.83,7.87,7.213,0.03
24.034,0.82,9.14,7.75,0.05
24.171,0.81,9.92,8.061,0.07
24.329,0.8,10.51,8.289,0.09
24.462,0.79,10.17,8.159,0.11
24.62,0.8,9.92,8.061,0.13
24.755,0.81,9.63,7.947,0.15
24.938,0.84,9.78,8.006,0.17
25.061,0.93,9.73,7.987,0.19
25.225,1.06,9.63,7.947,0.21
25.378,1.24,9.58,7.927,0.23
25.505,1.47,9.43,7.867,0.25
25.681,1.74,9.63,7.947,0.27
25.806,2.04,9.34,7.831,0.29
25.972,2.35,9.29,7.811,0.31
26.126,2.66,9.29,7.811,0.33
26.267,2.97,9.48,7.887,0.35
26.427,3.28,9.43,7.867,0.37
26.551,3.57,9.34,7.831,0.38
26.715,3.85,9.29,7.811,0.4
26.857,4.11,9.48,7.887,0.42
27.026,4.35,9.78,8.006,0.44
27.168,4.59,9.58,7.927,0.46
27.319,4.82,9.78,8.006,0.48
27.444,5.03,9.53,7.907,0.5
27.619,5.21,9.63,7.947,0.52
27.745,5.36,9.82,8.022,0.54
27.91,5.51,9.73,7.987,0.56
28.043,5.64,9.73,7.987,0.58
28.199,5.76,9.63,7.947,0.6
28.326,5.85,9.73,7.987,0.62
28.494,6.02,10.07,8.12,0.64
28.665,6.14,9.92,8.061,0.66
